Variable_1,Variable_2,Pearson,Spearman,Abs_Pearson,Abs_Spearman,N_Par,Clasificacion
ACCESO A AGUA POTABLE ADECUADO,TEMPERATURA,0.67686053414027,0.6921908206054923,0.67686053414027,0.6921908206054923,50,Moderada
Temp_Media_C,ACCESO A AGUA POTABLE ADECUADO,0.6756635653196253,0.75782853486202,0.6756635653196253,0.75782853486202,528,Moderada
Temp_Max_C,CONDUCTIVIDAD ELECTRICA,0.6754409107655281,0.6849472969003587,0.6754409107655281,0.6849472969003587,50,Moderada
INDICE DE DESEMPENO INSTITUCIONAL,FOSFORO TOTAL,0.6749434914474639,1.0,0.6749434914474639,1.0,3,No concluyente (n < 30)
Anio,COBERTURA DE ALCANTARILLADO URBANO,0.6717776667909484,0.6623703042426295,0.6717776667909484,0.6623703042426295,528,Moderada
Temp_Max_C,FOSFORO TOTAL,0.6593333340934094,0.6976168642171833,0.6593333340934094,0.6976168642171833,49,Moderada
Temp_Min_C,ACCESO A AGUA POTABLE ADECUADO,0.6592220128201636,0.7382166498895558,0.6592220128201636,0.7382166498895558,528,Moderada
Temp_Min_C,AGUAS RESIDUALES TRATADAS,0.6579877652609201,0.32899390592476363,0.6579877652609201,0.32899390592476363,96,Moderada
COBERTURA DE ACUEDUCTO URBANO,OXIGENO DISUELTO (OD),-0.654525454133197,-0.6744882979413848,0.654525454133197,0.6744882979413848,50,Moderada
Humedad_Relativa,POBLACION TOTAL,-0.6543879291716573,-0.4580190361126076,0.6543879291716573,0.4580190361126076,528,Moderada
Humedad_Relativa,DENSIDAD POBLACIONAL,-0.6528293980413924,-0.4580190361126076,0.6528293980413924,0.4580190361126076,528,Moderada
DEMANDA QUIMICA DE OXIGENO (DQO),FOSFORO TOTAL,0.649379347483494,0.696745120651984,0.649379347483494,0.696745120651984,48,Moderada
Temp_Max_C,COBERTURA DE ACUEDUCTO RURAL,0.6464144385323348,0.794300946050853,0.6464144385323348,0.794300946050853,528,Moderada
INDICE DE DESEMPENO INSTITUCIONAL,COBERTURA DE ALCANTARILLADO RURAL,-0.6443379523259973,-0.7745966692414833,0.6443379523259973,0.7745966692414833,48,Moderada
INDICE DE DESEMPENO INSTITUCIONAL,COBERTURA DE ACUEDUCTO RURAL,0.6443379523259972,0.7745966692414833,0.6443379523259972,0.7745966692414833,48,Moderada
INDICE DE DESEMPENO INSTITUCIONAL,CONDUCTIVIDAD ELECTRICA,0.6423207431509059,1.0,0.6423207431509059,1.0,3,No concluyente (n < 30)
Humedad_Relativa,OXIGENO DISUELTO (OD),0.6388817929819669,0.4856525405805682,0.6388817929819669,0.4856525405805682,50,Moderada
Nivel_Minimo,SOLIDOS SUSPENDIDOS TOTALES,0.6388357739108331,0.17482517482517482,0.6388357739108331,0.17482517482517482,12,No concluyente (n < 30)
ACCESO A AGUA POTABLE ADECUADO,AGUAS RESIDUALES TRATADAS,0.6363793433471466,0.3119251469460218,0.6363793433471466,0.3119251469460218,96,Moderada
OXIGENO DISUELTO (OD),TEMPERATURA,-0.6359124619952512,-0.6340362198429024,0.6359124619952512,0.6340362198429024,50,Moderada
Temp_Media_C,COBERTURA DE ACUEDUCTO URBANO,0.6245036593863702,0.611796914141652,0.6245036593863702,0.611796914141652,528,Moderada
NITROGENO TOTAL,TEMPERATURA,0.6221290933263841,0.6991870130889357,0.6221290933263841,0.6991870130889357,29,No concluyente (n < 30)
Temp_Min_C,OXIGENO DISUELTO (OD),-0.6220767992510715,-0.5328498709439707,0.6220767992510715,0.5328498709439707,50,Moderada
NITROGENO TOTAL,OXIGENO DISUELTO (OD),-0.6137416975573362,-0.73130471916096,0.6137416975573362,0.73130471916096,29,No concluyente (n < 30)
INDICE DE DESEMPENO INSTITUCIONAL,NITROGENO TOTAL,0.6109960344993463,1.0,0.6109960344993463,1.0,3,No concluyente (n < 30)
Temp_Min_C,COBERTURA DE ACUEDUCTO URBANO,0.6083160900901904,0.590548807253591,0.6083160900901904,0.590548807253591,528,Moderada
DENSIDAD POBLACIONAL,TEMPERATURA,0.6075522466993226,0.5878517606815161,0.6075522466993226,0.5878517606815161,50,Moderada
COBERTURA DE ACUEDUCTO RURAL,COBERTURA DE ALCANTARILLADO RURAL,-0.6045802037767333,-0.5667350044327922,0.6045802037767333,0.5667350044327922,528,Moderada
Temp_Media_C,AGUAS RESIDUALES TRATADAS,0.5974798721911426,0.24191715085452506,0.5974798721911426,0.24191715085452506,96,Moderada
DEMANDA BIOQUIMICA DE OXIGENO (DBO5),NITROGENO TOTAL,0.5869164031905093,0.2857243743174461,0.5869164031905093,0.2857243743174461,9,No concluyente (n < 30)
INDICE DE DESEMPENO INSTITUCIONAL,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,0.5806525903946,0.2,0.5806525903946,0.2,48,Moderada
POBLACION TOTAL,DEMANDA QUIMICA DE OXIGENO (DQO),0.5799106521258719,0.4468450886766275,0.5799106521258719,0.4468450886766275,49,Moderada
COBERTURA DE ACUEDUCTO URBANO,TEMPERATURA,0.5741610052634587,0.5777562396116038,0.5741610052634587,0.5777562396116038,50,Moderada
Anio,VolumenUtilDiarioMasa,0.5738938907334586,0.5891746791302561,0.5738938907334586,0.5891746791302561,336,Moderada
