,Precipitacion_mm,Temp_Max_C,Temp_Min_C,Temp_Media_C,Humedad_Relativa,Velocidad_Viento,Radiacion_Solar,Anio,Mes,ONI,VolumenUtilDiarioMasa,irca,POBLACION TOTAL,DENSIDAD POBLACIONAL,INDICE DE DESEMPENO INSTITUCIONAL,ACCESO A AGUA POTABLE ADECUADO,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,COBERTURA DE ACUEDUCTO URBANO,COBERTURA DE ACUEDUCTO RURAL,COBERTURA DE ALCANTARILLADO URBANO,COBERTURA DE ALCANTARILLADO RURAL,CONTINUIDAD DE ACUEDUCTO URBANO,CALIDAD DEL AGUA,AGUAS RESIDUALES TRATADAS,Nivel_Minimo,CONDUCTIVIDAD ELECTRICA,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),DEMANDA QUIMICA DE OXIGENO (DQO),FOSFORO TOTAL,NITROGENO TOTAL,OXIGENO DISUELTO (OD),SOLIDOS SUSPENDIDOS TOTALES,TEMPERATURA,TURBIDEZ,pH
VolumenUtilDiarioMasa,0.053025711906127315,-0.01778843880673666,-0.02095079859119617,-0.0092268525462065,0.06635769075299695,0.06061847087897843,0.14964438607770073,0.5738938907334586,0.20036343339448792,0.2803289609323202,1.0,-0.12471700697272209,0.0270227191296991,0.02298387163221506,4.700133484990419e-16,0.06351851212363704,-0.48531042067309144,0.20694273250711379,0.009381082837646944,0.5321854724330795,-0.30947992284689374,,0.03714725886567891,-1.1242879962072107e-15,0.30546880657619047,-0.07744231110813278,-0.31976398686683816,-0.2991787543025804,-0.006288852928134508,-0.11932628417187638,0.0696637698182548,0.027707732710929373,-0.13386011175187026,0.323852901792617,-0.24565084707940343
irca,-0.14958013271133996,0.22294835292412513,-0.049877484732163885,0.10901362448075243,-0.3832775452959649,0.03194561988713329,0.00803341214283368,-0.05727042918024371,-2.25044491488462e-16,0.006986909701189678,-0.12471700697272209,1.0,0.5062751976952371,0.475304089113817,0.3201705596678281,-0.12395677756732423,0.0731538480259263,-0.1760832875277166,-0.10378223368302278,0.0771036014975268,0.24043284261880504,,0.47630781428869984,0.11374182469458652,0.061540757134162835,0.27098479448000307,0.3401991051269506,0.40335660988258876,0.22869383104869312,0.3572619781210574,-0.07077663895302162,0.018702193583233336,-0.13098599873478325,-0.1155654960511252,0.2931316135503892
POBLACION TOTAL,-0.14846924169386622,0.742010982005294,0.45491879113613964,0.6844731374453293,-0.6543879291716573,0.06356478455302564,0.12690182083323365,0.03737597801422406,-6.658990248124117e-16,-2.378328711027237e-05,0.0270227191296991,0.5062751976952371,1.0,0.9958285597370201,-0.09023988403398318,0.4107526984376335,0.25821175102080096,0.378462298396867,0.4789269023948082,0.1459735862063124,-0.10860250697303264,,0.08318082935432386,0.16553078665159332,0.8267638495159672,0.8619537926675054,-0.38382564523831836,0.5799106521258719,0.8818171731579585,0.7497102795315989,-0.8659236844879361,0.4205635342628807,0.5544804942160322,0.4872106816250005,0.03189797890002248
DENSIDAD POBLACIONAL,-0.13755446995284593,0.7803979883098209,0.5217972859808142,0.7403711360407792,-0.6528293980413924,0.03632679122586472,0.1603919032443668,0.0317712005499611,-6.365176601028946e-16,-1.8568875347397058e-05,0.02298387163221506,0.475304089113817,0.9958285597370201,1.0,-0.09183064255474163,0.45109641941192685,0.2745927394075916,0.41475155337614145,0.5281133927465498,0.13098519954209342,-0.12558364878919995,,0.06345386824715546,0.22198560615912744,0.7040999979488151,0.8414613402522286,-0.38106540386116233,0.5535673411786384,0.867321880399887,0.7362901208741066,-0.8876789949778077,0.43442636083457764,0.6075522466993226,0.48157803293461215,-0.012095151428299655
INDICE DE DESEMPENO INSTITUCIONAL,0.10122409360522729,-0.0181756077518956,0.10680196313697461,0.03272189098643361,0.19752763247983757,0.4829265677792562,-0.2085481362621982,,8.233470708115982e-18,1.0958664897847428e-16,4.700133484990419e-16,0.3201705596678281,-0.09023988403398318,-0.09183064255474163,1.0,0.15096218558180102,0.5806525903946,,0.6443379523259972,-0.912515249835361,-0.6443379523259973,,0.9120738620329274,0.7290766549206337,,0.6423207431509059,,0.7984031019722234,0.6749434914474639,0.6109960344993463,-0.9946976878214308,0.9326897814624298,0.9256959649302327,1.0,0.1652778465405537
ACCESO A AGUA POTABLE ADECUADO,0.08740001468002963,0.5620644277437404,0.6592220128201636,0.6756635653196253,-0.18070025574260465,0.1686347525306436,0.06869506862122783,0.164077949329475,-6.130925152756133e-16,-0.012628123154867514,0.06351851212363704,-0.12395677756732423,0.4107526984376335,0.45109641941192685,0.15096218558180102,1.0,0.29287870588176296,0.9386140912483517,0.8827679829119515,0.043441593854026836,-0.49615043981148427,,0.10370298919721246,0.6363793433471466,0.17878567736374779,0.38934832658594815,-0.3827118775408581,0.16554393998183964,0.4591343236657352,0.3760924832481719,-0.7158818882870452,0.37937084355235107,0.67686053414027,0.45728924939537724,-0.43132553774043014
PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,-0.08026964631118289,0.2983554071240889,0.2810356290728263,0.309413270395233,-0.2107221379804917,-0.005249362207486295,0.03003184979733635,-0.22864642877982572,-2.7891897329513e-16,-0.20133906084285777,-0.48531042067309144,0.0731538480259263,0.25821175102080096,0.2745927394075916,0.5806525903946,0.29287870588176296,1.0,0.12544264161671342,0.2895349819677501,-0.34014884752781854,0.03974656302592157,,-0.07391513943086508,0.026235800745982425,0.1686458777244479,0.2889848541967775,-0.02504223850111718,0.19829919255572526,0.30927437367821853,0.3898563228040449,-0.36350717068629085,0.08970971781523297,0.4330266797271836,-0.08877170498542238,-0.02753812150206941
COBERTURA DE ACUEDUCTO URBANO,0.09090652604955818,0.515434645808221,0.6083160900901904,0.6245036593863702,-0.15631787292900332,0.17344024387322346,0.07071533588577025,0.22360679775010023,2.8679474431184336e-16,0.03597195807077174,0.20694273250711379,-0.1760832875277166,0.378462298396867,0.41475155337614145,,0.9386140912483517,0.12544264161671342,1.0,0.815547154937789,0.12089517971841687,-0.4367594950267238,,,,0.17878567736374767,0.33987307150783314,-0.39996730442353656,0.13207622673974245,0.41664098432766855,0.2808555013342458,-0.654525454133197,0.4220959149193472,0.5741610052634587,0.49614783017772857,-0.46517219191384557
COBERTURA DE ACUEDUCTO RURAL,0.07523638501381925,0.6464144385323348,0.7539169551178727,0.7692973879866617,-0.2336949449228006,0.1477969494021675,0.09430332155177272,0.011203119382859578,-4.273972530345011e-16,0.0018022624748083378,0.009381082837646944,-0.10378223368302278,0.4789269023948082,0.5281133927465498,0.6443379523259972,0.8827679829119515,0.2895349819677501,0.815547154937789,1.0,-0.08975286799197812,-0.6045802037767333,,0.4678107797451004,0.9518639659043954,0.1850003630571574,0.41976789551649,-0.37863323602232046,0.19058583930609688,0.4880271344663334,0.4340655285163475,-0.7479876127113941,0.39434201785194106,0.7760656052800782,0.4757218234477035,-0.3263967639489032
COBERTURA DE ALCANTARILLADO URBANO,0.05490171626547605,0.02729644442160151,-0.016227378557112992,0.02207219471900676,0.011576010904724168,0.00614209624315045,0.03475423770283916,0.6717776667909484,-1.5002957508407078e-16,0.03842076008198912,0.5321854724330795,0.0771036014975268,0.1459735862063124,0.13098519954209342,-0.912515249835361,0.043441593854026836,-0.34014884752781854,0.12089517971841687,-0.08975286799197812,1.0,-0.318579991192718,,-0.804659027853817,-0.5045140684561116,0.06194078026209465,0.1861533338046287,-0.14731337319126064,0.011978939444637252,0.23830446717881384,-0.02761702380783805,-0.14125791942902843,0.11145915831252952,-0.19884812356548082,0.22789700142068123,-0.26194982375600384
COBERTURA DE ALCANTARILLADO RURAL,-0.14918050233703553,-0.17631389764579275,-0.3248649429406845,-0.2847089538253074,-0.11296171814167238,-0.244954349262751,0.07753995051801353,-0.4177904915657767,2.344320997466423e-16,-0.06596651424742957,-0.30947992284689374,0.24043284261880504,-0.10860250697303264,-0.12558364878919995,-0.6443379523259973,-0.49615043981148427,0.03974656302592157,-0.4367594950267238,-0.6045802037767333,-0.318579991192718,1.0,,-0.46781077974510044,-0.9518639659043956,-0.02287627111691448,-0.23966397195474806,0.2883807128849212,0.007615366226400961,-0.2134906556722858,-0.07748348147199803,0.4431757510724208,-0.05380922323029452,-0.28949049170697966,-0.3841955629240749,0.33197265170429574
CONTINUIDAD DE ACUEDUCTO URBANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CALIDAD DEL AGUA,0.07240075620425043,0.009434772037401883,0.007097573680432634,0.004307538302359683,0.04102560935223377,0.4064636277784563,-0.22530700043504343,-0.043069359429804555,1.505527988220396e-16,0.011784887269480009,0.03714725886567891,0.47630781428869984,0.08318082935432386,0.06345386824715546,0.9120738620329274,0.10370298919721246,-0.07391513943086508,,0.4678107797451004,-0.804659027853817,-0.46781077974510044,,1.0,0.47384217262263967,,0.47189390908715084,-1.0,0.22205279313718043,0.47707399164470443,0.40129185320610816,-0.34766504255243985,0.15125859992725216,0.6858323737993114,0.3114666913639133,0.7345179688069101
AGUAS RESIDUALES TRATADAS,0.1953477853963362,0.4517014071659752,0.6579877652609201,0.5974798721911426,0.02461912726315194,0.08606843164547551,0.05661143453254646,4.134042402077412e-13,1.2240249515484984e-16,-1.975893491357484e-16,-1.1242879962072107e-15,0.11374182469458652,0.16553078665159332,0.22198560615912744,0.7290766549206337,0.6363793433471466,0.026235800745982425,,0.9518639659043954,-0.5045140684561116,-0.9518639659043956,,0.47384217262263967,1.0,,0.2934854366663909,-1.0,0.1460165044151489,0.28892468630002816,0.2084213568812839,-0.7797865091371275,-0.08690556751438384,0.6884220666332722,0.30062677874863347,-0.06849026520699615
