Indice_Secuencia,Nodo,Fecha_Inicio,Fecha_Fin,Fecha_Objetivo
423,Villapinzon_Alta,2020-04-01,2021-03-01,2021-04-01
424,Villapinzon_Alta,2020-05-01,2021-04-01,2021-05-01
425,Villapinzon_Alta,2020-06-01,2021-05-01,2021-06-01
426,Villapinzon_Alta,2020-07-01,2021-06-01,2021-07-01
427,Villapinzon_Alta,2020-08-01,2021-07-01,2021-08-01
428,Villapinzon_Alta,2020-09-01,2021-08-01,2021-09-01
429,Villapinzon_Alta,2020-10-01,2021-09-01,2021-10-01
430,Villapinzon_Alta,2020-11-01,2021-10-01,2021-11-01
431,Villapinzon_Alta,2020-12-01,2021-11-01,2021-12-01
432,Villapinzon_Alta,2021-01-01,2021-12-01,2022-01-01
433,Villapinzon_Alta,2021-02-01,2022-01-01,2022-02-01
434,Villapinzon_Alta,2021-03-01,2022-02-01,2022-03-01
435,Villapinzon_Alta,2021-04-01,2022-03-01,2022-04-01
436,Villapinzon_Alta,2021-05-01,2022-04-01,2022-05-01
437,Villapinzon_Alta,2021-06-01,2022-05-01,2022-06-01
438,Villapinzon_Alta,2021-07-01,2022-06-01,2022-07-01
439,Villapinzon_Alta,2021-08-01,2022-07-01,2022-08-01
440,Villapinzon_Alta,2021-09-01,2022-08-01,2022-09-01
441,Villapinzon_Alta,2021-10-01,2022-09-01,2022-10-01
442,Villapinzon_Alta,2021-11-01,2022-10-01,2022-11-01
443,Villapinzon_Alta,2021-12-01,2022-11-01,2022-12-01
444,Villapinzon_Alta,2022-01-01,2022-12-01,2023-01-01
445,Villapinzon_Alta,2022-02-01,2023-01-01,2023-02-01
446,Villapinzon_Alta,2022-03-01,2023-02-01,2023-03-01
447,Villapinzon_Alta,2022-04-01,2023-03-01,2023-04-01
448,Villapinzon_Alta,2022-05-01,2023-04-01,2023-05-01
449,Villapinzon_Alta,2022-06-01,2023-05-01,2023-06-01
450,Villapinzon_Alta,2022-07-01,2023-06-01,2023-07-01
451,Villapinzon_Alta,2022-08-01,2023-07-01,2023-08-01
452,Villapinzon_Alta,2022-09-01,2023-08-01,2023-09-01
453,Villapinzon_Alta,2022-10-01,2023-09-01,2023-10-01
454,Villapinzon_Alta,2022-11-01,2023-10-01,2023-11-01
455,Villapinzon_Alta,2022-12-01,2023-11-01,2023-12-01
456,Villapinzon_Alta,2023-01-01,2023-12-01,2024-01-01
457,Villapinzon_Alta,2023-02-01,2024-01-01,2024-02-01
458,Villapinzon_Alta,2023-03-01,2024-02-01,2024-03-01
459,Villapinzon_Alta,2023-04-01,2024-03-01,2024-04-01
460,Villapinzon_Alta,2023-05-01,2024-04-01,2024-05-01
461,Villapinzon_Alta,2023-06-01,2024-05-01,2024-06-01
462,Villapinzon_Alta,2023-07-01,2024-06-01,2024-07-01
463,Villapinzon_Alta,2023-08-01,2024-07-01,2024-08-01
464,Villapinzon_Alta,2023-09-01,2024-08-01,2024-09-01
465,Villapinzon_Alta,2023-10-01,2024-09-01,2024-10-01
466,Villapinzon_Alta,2023-11-01,2024-10-01,2024-11-01
467,Villapinzon_Alta,2023-12-01,2024-11-01,2024-12-01
468,Villapinzon_Alta,2024-01-01,2024-12-01,2025-01-01
469,Villapinzon_Alta,2024-02-01,2025-01-01,2025-02-01
470,Villapinzon_Alta,2024-03-01,2025-02-01,2025-03-01
471,Villapinzon_Alta,2024-04-01,2025-03-01,2025-04-01
472,Villapinzon_Alta,2024-05-01,2025-04-01,2025-05-01
473,Villapinzon_Alta,2024-06-01,2025-05-01,2025-06-01
474,Villapinzon_Alta,2024-07-01,2025-06-01,2025-07-01
475,Villapinzon_Alta,2024-08-01,2025-07-01,2025-08-01
476,Villapinzon_Alta,2024-09-01,2025-08-01,2025-09-01
477,Villapinzon_Alta,2024-10-01,2025-09-01,2025-10-01
478,Villapinzon_Alta,2024-11-01,2025-10-01,2025-11-01
479,Villapinzon_Alta,2024-12-01,2025-11-01,2025-12-01
