Indice_Secuencia,Nodo,Fecha_Inicio,Fecha_Fin,Fecha_Objetivo,Particion,Registro,Real,Prediccion,Error,Error_Absoluto,Error_Porcentual_Abs
83,Bogota_Sabana,2024-12-01,2025-11-01,2025-12-01,Prueba,83,425201800.0,428254282.41099614,-3052490.410996139,3052490.410996139,0.7178921792963984
155,Sopo_Sur,2023-12-01,2024-11-01,2024-12-01,Prueba,155,492346400.0,415364761.09866893,76981638.90133107,76981638.90133107,15.635666047589881
156,Sopo_Sur,2024-01-01,2024-12-01,2025-01-01,Prueba,156,478472860.0,419970561.54606503,58502302.45393497,58502302.45393497,12.226879903879976
157,Sopo_Sur,2024-02-01,2025-01-01,2025-02-01,Prueba,157,453861340.0,420771571.4939147,33089772.506085277,33089772.506085277,7.290722804118184
158,Sopo_Sur,2024-03-01,2025-02-01,2025-03-01,Prueba,158,431913250.0,421951341.2442673,9961906.755732715,9961906.755732715,2.3064601055563627
159,Sopo_Sur,2024-04-01,2025-03-01,2025-04-01,Prueba,159,410084320.0,422292724.8271163,-12208404.82711631,12208404.82711631,2.9770474587071045
160,Sopo_Sur,2024-05-01,2025-04-01,2025-05-01,Prueba,160,404057540.0,425298386.88494587,-21240850.88494587,21240850.88494587,5.256887693574875
161,Sopo_Sur,2024-06-01,2025-05-01,2025-06-01,Prueba,161,420179940.0,425293058.00888073,-5113122.008880734,5113122.008880734,1.2168886638320433
162,Sopo_Sur,2024-07-01,2025-06-01,2025-07-01,Prueba,162,431375580.0,428345708.3285643,3029875.671435714,3029875.671435714,0.702375327629974
163,Sopo_Sur,2024-08-01,2025-07-01,2025-08-01,Prueba,163,436014400.0,431951361.3148913,4063038.6851087213,4063038.6851087213,0.9318588296874418
164,Sopo_Sur,2024-09-01,2025-08-01,2025-09-01,Prueba,164,420453920.0,436287768.3624601,-15833848.362460077,15833848.362460077,3.7658938612012647
165,Sopo_Sur,2024-10-01,2025-09-01,2025-10-01,Prueba,165,406067140.0,438604561.47926813,-32537425.479268134,32537425.479268134,8.01281921008947
166,Sopo_Sur,2024-11-01,2025-10-01,2025-11-01,Prueba,166,415953200.0,440746342.1125792,-24793126.112579226,24793126.112579226,5.960556418099488
167,Sopo_Sur,2024-12-01,2025-11-01,2025-12-01,Prueba,167,425201800.0,442042451.3372492,-16840659.33724922,16840659.33724922,3.960627554751514
239,Tocancipa_Media,2023-12-01,2024-11-01,2024-12-01,Prueba,239,492346400.0,408802402.6434343,83543997.35656571,83543997.35656571,16.968540311570415
240,Tocancipa_Media,2024-01-01,2024-12-01,2025-01-01,Prueba,240,478472860.0,414834216.4997928,63638647.500207186,63638647.500207186,13.300367123893402
241,Tocancipa_Media,2024-02-01,2025-01-01,2025-02-01,Prueba,241,453861340.0,416742037.09333694,37119306.90666306,37119306.90666306,8.178556600463216
242,Tocancipa_Media,2024-03-01,2025-02-01,2025-03-01,Prueba,242,431913250.0,416911385.76489437,15001862.235105634,15001862.235105634,3.473350795460118
243,Tocancipa_Media,2024-04-01,2025-03-01,2025-04-01,Prueba,243,410084320.0,412633175.3689742,-2548855.368974209,2548855.368974209,0.6215442153394719
244,Tocancipa_Media,2024-05-01,2025-04-01,2025-05-01,Prueba,244,404057540.0,404059445.1837573,-1909.1837573051453,1909.1837573051453,0.00047250294505214854
245,Tocancipa_Media,2024-06-01,2025-05-01,2025-06-01,Prueba,245,420179940.0,401161828.4998409,19018107.500159085,19018107.500159085,4.526181730904706
246,Tocancipa_Media,2024-07-01,2025-06-01,2025-07-01,Prueba,246,431375580.0,401400924.8661324,29974659.13386762,29974659.13386762,6.948622093054674
247,Tocancipa_Media,2024-08-01,2025-07-01,2025-08-01,Prueba,247,436014400.0,403674202.55849314,32340197.441506863,32340197.441506863,7.417231504626192
248,Tocancipa_Media,2024-09-01,2025-08-01,2025-09-01,Prueba,248,420453920.0,405470395.7392745,14983524.260725498,14983524.260725498,3.5636543145383204
249,Tocancipa_Media,2024-10-01,2025-09-01,2025-10-01,Prueba,249,406067140.0,407824828.23963773,-1757692.2396377325,1757692.2396377325,0.4328575459102734
250,Tocancipa_Media,2024-11-01,2025-10-01,2025-11-01,Prueba,250,415953200.0,411621053.17865604,4332162.821343958,4332162.821343958,1.04150242255705
251,Tocancipa_Media,2024-12-01,2025-11-01,2025-12-01,Prueba,251,425201800.0,416428920.6705595,8772871.329440475,8772871.329440475,2.063225389567614
