Indice_Secuencia,Nodo,Fecha_Inicio,Fecha_Fin,Fecha_Objetivo,Particion,Registro,Real,Prediccion,Error,Error_Absoluto,Error_Porcentual_Abs
13,Bogota_Sabana,2019-02-01,2020-01-01,2020-02-01,Train,13,341265630.0,391561336.1852826,-50295704.18528259,50295704.18528259,14.737992774286335
14,Bogota_Sabana,2019-03-01,2020-02-01,2020-03-01,Train,14,318710100.0,388976943.1962324,-70266831.19623238,70266831.19623238,22.047255029119494
15,Bogota_Sabana,2019-04-01,2020-03-01,2020-04-01,Train,15,300844160.0,385351408.9874938,-84507248.98749381,84507248.98749381,28.090041364769657
16,Bogota_Sabana,2019-05-01,2020-04-01,2020-05-01,Train,16,290141860.0,384025868.6234147,-93884012.6234147,93884012.6234147,32.35796927673017
17,Bogota_Sabana,2019-06-01,2020-05-01,2020-06-01,Train,17,294335740.0,387508068.7997384,-93172324.7997384,93172324.7997384,31.655117225496884
18,Bogota_Sabana,2019-07-01,2020-06-01,2020-07-01,Train,18,323125500.0,388243455.2402099,-65117951.24020988,65117951.24020988,20.15252601051568
19,Bogota_Sabana,2019-08-01,2020-07-01,2020-08-01,Train,19,336433600.0,390934762.2299204,-54501162.22992039,54501162.22992039,16.199678697347824
20,Bogota_Sabana,2019-09-01,2020-08-01,2020-09-01,Train,20,328335330.0,396070906.6233647,-67735578.62336469,67735578.62336469,20.630000139176218
21,Bogota_Sabana,2019-10-01,2020-09-01,2020-10-01,Train,21,314703550.0,400376357.570032,-85672805.570032,85672805.570032,27.22333606518429
22,Bogota_Sabana,2019-11-01,2020-10-01,2020-11-01,Train,22,321075170.0,408242886.86317,-87167718.86317003,87167718.86317003,27.148695243591693
23,Bogota_Sabana,2019-12-01,2020-11-01,2020-12-01,Train,23,333583680.0,422186336.76838773,-88602656.76838773,88602656.76838773,26.560848770655607
24,Bogota_Sabana,2020-01-01,2020-12-01,2021-01-01,Train,24,318859500.0,423782893.8908464,-104923405.89084637,104923405.89084637,32.90584405970267
25,Bogota_Sabana,2020-02-01,2021-01-01,2021-02-01,Train,25,300381760.0,421065850.0889858,-120684090.0889858,120684090.0889858,40.17690358062547
26,Bogota_Sabana,2020-03-01,2021-02-01,2021-03-01,Train,26,294729820.0,426009119.2667965,-131279295.26679653,131279295.26679653,44.54225008012644
27,Bogota_Sabana,2020-04-01,2021-03-01,2021-04-01,Train,27,296661380.0,437300299.57585055,-140638923.57585055,140638923.57585055,47.40722418001949
28,Bogota_Sabana,2020-05-01,2021-04-01,2021-05-01,Train,28,321908600.0,439748299.5768494,-117839691.5768494,117839691.5768494,36.6065674071224
29,Bogota_Sabana,2020-06-01,2021-05-01,2021-06-01,Train,29,359512220.0,433807120.6028719,-74294896.6028719,74294896.6028719,20.665471614915628
30,Bogota_Sabana,2020-07-01,2021-06-01,2021-07-01,Train,30,393645380.0,430288236.4591507,-36642860.45915067,36642860.45915067,9.30859669469372
31,Bogota_Sabana,2020-08-01,2021-07-01,2021-08-01,Train,31,434575580.0,425183224.89544475,9392359.10455525,9392359.10455525,2.161271698263483
32,Bogota_Sabana,2020-09-01,2021-08-01,2021-09-01,Train,32,456232800.0,425556860.1404833,30675939.85951668,30675939.85951668,6.723747143895984
33,Bogota_Sabana,2020-10-01,2021-09-01,2021-10-01,Train,33,461579260.0,422974328.20641226,38604935.793587744,38604935.793587744,8.363663362829865
34,Bogota_Sabana,2020-11-01,2021-10-01,2021-11-01,Train,34,481237600.0,423336929.86113894,57900670.13886106,57900670.13886106,12.0316180902866
35,Bogota_Sabana,2020-12-01,2021-11-01,2021-12-01,Train,35,474543580.0,425356151.36127275,49187432.63872725,49187432.63872725,10.365208654623228
36,Bogota_Sabana,2021-01-01,2021-12-01,2022-01-01,Train,36,453196060.0,429515994.72463626,23680069.275363743,23680069.275363743,5.225126861508608
37,Bogota_Sabana,2021-02-01,2022-01-01,2022-02-01,Train,37,432436300.0,422325503.58885,10110784.411149979,10110784.411149979,2.3380980485962315
38,Bogota_Sabana,2021-03-01,2022-02-01,2022-03-01,Train,38,419985400.0,427842066.64346516,-7856658.643465161,7856658.643465161,1.8706980037423493
39,Bogota_Sabana,2021-04-01,2022-03-01,2022-04-01,Train,39,408355520.0,434110137.242729,-25754617.24272901,25754617.24272901,6.3069105182486584
40,Bogota_Sabana,2021-05-01,2022-04-01,2022-05-01,Train,40,454864350.0,440219088.2200813,14645263.77991867,14645263.77991867,3.2196991730665827
41,Bogota_Sabana,2021-06-01,2022-05-01,2022-06-01,Train,41,498158200.0,445520636.91353077,52637571.08646923,52637571.08646923,10.566436573994828
42,Bogota_Sabana,2021-07-01,2022-06-01,2022-07-01,Train,42,532957100.0,452718938.26770926,80238149.73229074,80238149.73229074,15.055273968378247
43,Bogota_Sabana,2021-08-01,2022-07-01,2022-08-01,Train,43,550557800.0,454118951.70062035,96438872.29937965,96438872.29937965,17.51657466217021
44,Bogota_Sabana,2021-09-01,2022-08-01,2022-09-01,Train,44,549053800.0,451505809.791776,97548014.208224,97548014.208224,17.766566763447948
45,Bogota_Sabana,2021-10-01,2022-09-01,2022-10-01,Train,45,545696450.0,451966749.4681226,93729698.5318774,93729698.5318774,17.17616064304626
46,Bogota_Sabana,2021-11-01,2022-10-01,2022-11-01,Train,46,556572100.0,449706787.40612066,106865308.59387934,106865308.59387934,19.200622769611385
47,Bogota_Sabana,2021-12-01,2022-11-01,2022-12-01,Train,47,564248770.0,453301813.1241124,110946954.87588757,110946954.87588757,19.662773083075223
