ONI,PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,Precipitacion_mm,Radiacion_Solar,irca,Humedad_Relativa,Temp_Min_C,Mes,Velocidad_Viento,VolumenUtilDiarioMasa
-0.7104722792607803,0.0,-0.5248226950354611,0.19804400977995149,1.6874999999999998,-0.45558739255014197,-0.255211623499684,1.0,-0.2500000000000002,
-0.6529774127310062,0.0,-0.6382978723404256,0.32029339853300764,1.2812499999999998,-0.7148997134670476,0.07327858496525605,-1.0,-0.3333333333333333,
-0.5051334702258726,0.0,-0.6534278959810875,0.05623471882640679,1.2812499999999998,-0.7951289398280773,0.10612760581174979,-0.8181818181818182,0.2500000000000002,
-0.5626283367556467,0.0,-0.4416075650118204,0.3398533007334979,1.2812499999999998,-1.0085959885386802,0.39671509791535053,-0.6363636363636364,0.16666666666666682,
-0.3080082135523614,0.0,0.6382978723404259,-0.5061124694376508,1.2812499999999998,-0.18624641833810635,0.46493998736576103,-0.45454545454545453,-0.22222222222222243,
-0.061601642710472276,0.0,0.753664302600473,-0.3496332518337396,1.2812499999999998,-0.3667621776504279,0.32090966519267194,-0.2727272727272727,-0.5000000000000001,
0.0944558521560575,0.0,0.1238770685579197,-0.1002444987775052,1.2812499999999998,-0.8595988538681923,0.1212886923562856,-0.09090909090909091,0.6944444444444444,
0.15195071868583163,0.0,-0.01796690307328601,-0.08068459657701663,1.2812499999999998,-0.9885386819484223,0.2425773847125712,0.09090909090909091,0.8888888888888891,
0.12731006160164274,0.0,-0.21087470449172568,0.848410757946211,1.2812499999999998,-1.2249283667621744,-0.34617814276689796,0.2727272727272727,2.055555555555556,
0.43121149897330596,0.0,-0.2600472813238771,0.7848410757946224,1.2812499999999998,-1.2793696275071615,0.1819330385344284,0.45454545454545453,0.5833333333333333,
0.7926078028747433,0.0,0.17494089834515367,0.535452322738387,1.2812499999999998,-0.3782234957020036,0.45483259633607076,0.6363636363636364,-0.38888888888888895,
0.8008213552361396,0.0,-0.042553191489361646,-0.11980440097799376,1.2812499999999998,-0.22349570200572882,0.5988629185091598,0.8181818181818182,-0.6388888888888888,
0.8254620123203285,0.0,-0.8955082742316786,1.1222493887530562,1.2812499999999998,-1.104584527220629,-0.06822488945041048,1.0,0.3888888888888886,
0.6858316221765913,0.0,-0.8028368794326242,0.3545232273838635,0.9375,-1.10888252148997,-0.13139608338597583,-1.0,0.7500000000000001,375310870.9677419
0.7186858316221766,0.0,-0.5475177304964539,0.14914425427873007,0.9375,-1.1146131805157569,0.624131396083386,-0.8181818181818182,-0.22222222222222243,349228892.8571429
0.7597535934291582,0.0,0.1522458628841609,-0.9511002444987751,0.9375,-0.5343839541547261,0.5331648768161715,-0.6363636363636364,-0.5833333333333336,322214612.9032258
0.6201232032854209,0.0,0.3489361702127662,-0.13936430317848233,0.9375,-0.2578796561604559,0.5508528111181299,-0.45454545454545453,-0.3055555555555555,308249466.6666667
0.5544147843942505,0.0,0.8803782505910168,-0.24205378973104988,0.9375,-0.499999999999999,0.4750473783954517,-0.2727272727272727,-0.36111111111111116,307606161.2903226
0.43121149897330596,0.0,0.006619385342789627,-0.07579462102689362,0.9375,-0.6446991404011437,0.17435249526216026,-0.09090909090909091,0.7222222222222223,321782800.0
0.3408624229979466,0.0,-0.19007092198581563,0.4914425427872869,0.9375,-1.074498567335241,0.005053695514845121,0.09090909090909091,1.083333333333333,366243806.4516129
0.08624229979466119,0.0,-0.5059101654846336,0.6136919315403431,0.9375,-1.3624641833810867,0.030322173089071626,0.2727272727272727,1.7777777777777777,390054870.9677419
0.06981519507186859,0.0,-0.27517730496453907,0.5012224938875312,0.9375,-1.4097421203438372,-0.07580543272267816,0.45454545454545453,0.7777777777777779,399258666.6666667
0.4476386036960986,0.0,0.36028368794326254,0.2029339853300745,0.9375,-0.7793696275071605,0.40429564118761824,0.6363636363636364,-0.44444444444444453,392567870.9677419
0.48870636550308005,0.0,0.38676122931442086,-0.14425427872860533,0.9375,-0.10315186246418112,0.4826279216677194,0.8181818181818182,-0.2500000000000002,385040666.6666667
0.5297741273100616,0.0,-0.6174940898345155,0.026894865525673946,0.9375,-0.6232091690544401,0.5331648768161715,1.0,-0.3055555555555555,381478322.5806451
0.6529774127310062,0.0,-0.9617021276595746,1.1858190709046466,0.46875,-0.9340974212034353,-0.26784586228679724,-1.0,1.3055555555555556,365105645.1612903
0.4394250513347023,0.0,-0.2411347517730496,1.396088019559903,0.46875,-1.351002865329511,-0.39671509791535053,-0.8181818181818182,0.9166666666666669,341265620.6896552
0.48870636550308005,0.0,-0.45862884160756506,0.10024449877750694,0.46875,-0.8567335243552989,-0.05559065066329768,-0.6363636363636364,0.05555555555555561,318710096.7741935
0.406570841889117,0.0,-0.12198581560283683,0.0611246943765298,0.46875,-0.891117478510026,0.7605811749842069,-0.45454545454545453,-0.38888888888888895,300844166.6666667
-0.11909650924024642,0.0,-0.24680851063829787,-0.3936430317848397,0.46875,-1.0659025787965586,0.42703727100442174,-0.2727272727272727,0.30555555555555525,290141870.9677419
-0.21765913757700206,0.0,0.8652482269503549,-0.05623471882640506,0.46875,-1.0085959885386802,0.14150347441566655,-0.09090909090909091,0.5833333333333333,294335733.3333333
-0.19301848049281312,0.0,0.14657210401891263,-0.0904645476772609,0.46875,-1.153295128939825,-0.027795325331648614,0.09090909090909091,0.2777777777777774,323125516.1290323
-0.43121149897330596,0.0,-0.36595744680851067,0.05623471882640679,0.46875,-1.183381088825213,0.13139608338597583,0.2727272727272727,0.2500000000000002,336433612.9032258
-0.6365503080082136,0.0,-0.3527186761229315,1.0097799511002443,0.46875,-1.45558739255014,0.0985470625394821,0.45454545454545453,0.2777777777777774,328335333.3333333
